"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
0;0;1;1;1;1;0;0;-14850,0006906208;-0,0536634167656302;
0,05;0,05;1;1;1;1;0;0;-14850,0006906208;-0,0536850374191999;
0,1;0,1;1;1;1;1;0;0;-14850,0006906208;-0,0536635704338551;
0,15;0,15;1;1;1;1;0;0;-14850,0006906208;-0,0536882458254695;
0,2;0,2;1;1;1;1;0;0;-14850,0006906208;-0,0535750994458795;
0,25;0,25;1;1;1;1;0;0;-14850,0006906208;-0,0535643845796585;
0,3;0,3;1;1;1;1;0;0;-14850,0006906208;-0,0536359427496791;
0,35;0,35;1;1;1;1;0;0;-14850,0006906208;-0,0538099696859717;
0,4;0,4;1;1;1;1;0;0;-14850,0006906208;-0,053795650601387;
0,45;0,45;1;1;1;1;0;0;-14850,0006906208;-0,0538100302219391;
0,5;0,5;1;1;1;1;0;0;-14850,0006906208;-0,0538289919495583;
0,55;0,55;1;1;1;1;0;0;-14850,0006906208;-0,0541367800906301;
0,6;0,6;1;1;1;1;0;0;-14850,0006906208;-0,0541630620136857;
0,65;0,65;1;1;1;1;0;0;-14850,0006906208;-0,0541123142465949;
0,7;0,7;1;1;1;1;0;0;-14850,0006906208;-0,0544236740097404;
0,75;0,75;1;1;1;1;0;0;-14850,0006906208;-0,054498971439898;
0,8;0,8;1;1;1;1;0;0;-14850,0006906208;-0,0547216599807143;
0,85;0,85;1;1;1;1;0;0;-14850,0006906208;-0,0552362063899636;
0,9;0,9;1;1;1;1;0;0;-14850,0006906208;-0,0553159415721893;
0,95;0,95;1;1;1;1;0;0;-14850,0006906208;-0,0554528646171093;
1;1;1;1;1;1;0;0;-14850,0006906208;-0,0554364733397961;
1,05;1,05;1;1;1;1;0;0;-14850,0006906208;-0,0558547861874104;
1,1;1,1;1;1;1;1;0;0;-14850,0006906208;-0,0561074027791619;
1,15;1,15;1;1;1;1;0;0;-14850,0006906208;-0,0565099716186523;
1,2;1,2;1;1;1;1;0;0;-14850,0006906208;-0,0567376893013716;
