"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
0;0;1;1;1;1;0;0;-18001,1590095231;-0,0469232350587845;
0,05;0,05;1;1;1;1;0;0;-18001,1590095231;-0,0470350030809641;
0,1;0,1;1;1;1;1;0;0;-18001,1590095231;-0,0469795754179358;
0,15;0,15;1;1;1;1;0;0;-18001,1590095231;-0,0470537692308426;
0,2;0,2;1;1;1;1;0;0;-18001,1590095231;-0,0472276005893946;
0,25;0,25;1;1;1;1;0;0;-18001,5273662192;-0,0473465817049146;
0,3;0,3;1;1;1;1;0;0;-18001,9744010446;-0,047601736150682;
0,35;0,35;1;1;1;1;0;0;-18002,9560895212;-0,0498600024729967;
0,4;0,4;1;1;1;1;0;0;-18010,7094615326;-0,058046574704349;
0,45;0,45;1;1;1;1;0;0;-18014,0783159767;-0,0661395117640495;
0,5;0,5;1;1;1;1;0;0;-18019,6948615229;-0,0701740104705095;
0,55;0,55;1;1;1;1;0;0;-18021,7315521873;-0,0763571774587035;
0,6;0,6;1;1;1;1;0;0;-18026,5201892368;-0,0830912962555885;
0,65;0,65;1;1;1;1;0;0;-18031,2909448933;-0,0866629648953676;
0,7;0,7;1;1;1;1;0;0;-18032,789405628;-0,090361163020134;
0,75;0,75;1;1;1;1;0;0;-18035,1604783419;-0,0975543912500143;
0,8;0,8;1;1;1;1;0;0;-18039,6236740385;-0,103211803361773;
0,85;0,85;1;1;1;1;0;0;-18044,0868697352;-0,108902370557189;
0,9;0,9;1;1;1;1;0;0;-18048,3766159195;-0,113654993474483;
0,95;0,95;1;1;1;1;0;0;-18051,2322743841;-0,118898199871182;
1;1;1;1;1;1;0;0;-18053,5783131477;-0,123565904796124;
1,05;1,05;1;1;1;1;0;0;-18055,809910996;-0,128477457910776;
1,1;1,1;1;1;1;1;0;0;-18058,0415088444;-0,133256139233708;
1,15;1,15;1;1;1;1;0;0;-18060,2731066927;-0,138119962066412;
1,2;1,2;1;1;1;1;0;0;-18062,6459675458;-0,142627777531743;
1,25;1,25;1;1;1;1;0;0;-18065,3228120802;-0,147797269746661;
1,3;1,3;1;1;1;1;0;0;-18068,0014447539;-0,152310440316796;
1,35;1,35;1;1;1;1;0;0;-18070,6782892883;-0,155545137822628;
1,4;1,4;1;1;1;1;0;0;-18073,356921962;-0,159614365547895;
1,45;1,45;1;1;1;1;0;0;-18076,0355546357;-0,164304748177528;
1,5;1,5;1;1;1;1;0;0;-18078,7123991701;-0,169045887887478;
1,55;1,55;1;1;1;1;0;0;-18081,3016248788;-0,175735242664814;
1,6;1,6;1;1;1;1;0;0;-18083,5332227271;-0,181815680116415;
1,65;1,65;1;1;1;1;0;0;-18086,3870930523;-0,186937432736158;
1,7;1,7;1;1;1;1;0;0;-18089,9580072375;-0,192623268812895;
1,75;1,75;1;1;1;1;0;0;-18093,5289214227;-0,198126528412104;
1,8;1,8;1;1;1;1;0;0;-18096,0966894597;-0,204188488423824;
1,85;1,85;1;1;1;1;0;0;-18097,9885408407;-0,209961757063866;
1,9;1,9;1;1;1;1;0;0;-18099,7731038637;-0,214214473962784;
1,95;1,95;1;1;1;1;0;0;-18101,9331761399;-0,219723116606474;
2;2;1;1;1;1;0;0;-18104,6118088136;-0,225893352180719;
2,05;2,05;1;1;1;1;0;0;-18107,288653348;-0,231648366898298;
2,1;2,1;1;1;1;1;0;0;-18109,9672860217;-0,237248595803976;
2,15;2,15;1;1;1;1;0;0;-18112,6459186954;-0,242472589015961;
2,2;2,2;1;1;1;1;0;0;-18115,3227632298;-0,248284675180912;
2,25;2,25;1;1;1;1;0;0;-18118,0013959035;-0,254105869680643;
2,3;2,3;1;1;1;1;0;0;-18120,6782404379;-0,259986203163862;
2,35;2,35;1;1;1;1;0;0;-18123,3568731117;-0,265983510762453;
2,4;2,4;1;1;1;1;0;0;-18126,0355057854;-0,27157336473465;
2,45;2,45;1;1;1;1;0;0;-18128,7123503198;-0,277611371129751;
2,5;2,5;1;1;1;1;0;0;-18131,3909829935;-0,283681564033031;
2,55;2,55;1;1;1;1;0;0;-18134,0678275279;-0,289971344172955;
2,6;2,6;1;1;1;1;0;0;-18136,7464602016;-0,295546632260084;
2,65;2,65;1;1;1;1;0;0;-18139,4250928753;-0,301592610776424;
2,7;2,7;1;1;1;1;0;0;-18142,1019374097;-0,308066494762897;
2,75;2,75;1;1;1;1;0;0;-18144,7805700834;-0,314713157713413;
2,8;2,8;1;1;1;1;0;0;-18147,4574146178;-0,320787727832794;
2,85;2,85;1;1;1;1;0;0;-18150,1360472915;-0,327791534364223;
2,9;2,9;1;1;1;1;0;0;-18152,8146799652;-0,333729200065136;
2,95;2,95;1;1;1;1;0;0;-18155,4915244996;-0,340172313153744;
3;3;1;1;1;1;0;0;-18158,1701571733;-0,346725806593895;
3,05;3,05;1;1;1;1;0;0;-18160,8470017077;-0,352999605238438;
3,1;3,1;1;1;1;1;0;0;-18163,5256343814;-0,359696373343468;
3,15;3,15;1;1;1;1;0;0;-18166,2042670551;-0,366717502474785;
3,2;3,2;1;1;1;1;0;0;-18168,8811115895;-0,373328067362309;
3,25;3,25;1;1;1;1;0;0;-18171,5597442632;-0,380305349826813;
3,3;3,3;1;1;1;1;0;0;-18174,2365887976;-0,387573204934597;
3,35;3,35;1;1;1;1;0;0;-18176,9152214713;-0,394915565848351;
3,4;3,4;1;1;1;1;0;0;-18179,593854145;-0,401471443474293;
3,45;3,45;1;1;1;1;0;0;-18182,2706986794;-0,408398434519768;
3,5;3,5;1;1;1;1;0;0;-18184,9493313531;-0,41552159935236;
3,55;3,55;1;1;1;1;0;0;-18187,6261758875;-0,422697775065899;
3,6;3,6;1;1;1;1;0;0;-18190,3048085613;-0,429537743330002;
3,65;3,65;1;1;1;1;0;0;-18192,983441235;-0,436631105840206;
3,7;3,7;1;1;1;1;0;0;-18195,6602857694;-0,44423621147871;
3,75;3,75;1;1;1;1;0;0;-18198,3389184431;-0,451571270823479;
3,8;3,8;1;1;1;1;0;0;-18201,0157629775;-0,459059290587902;
3,85;3,85;1;1;1;1;0;0;-18203,6943956512;-0,466669015586376;
3,9;3,9;1;1;1;1;0;0;-18206,3712401856;-0,47401238232851;
3,95;3,95;1;1;1;1;0;0;-18208,9783472872;-0,481923334300518;
4;4;1;1;1;1;0;0;-18211,2099451355;-0,489540621638298;
4,05;4,05;1;1;1;1;0;0;-18213,4415429839;-0,497270822525024;
4,1;4,1;1;1;1;1;0;0;-18215,6731408322;-0,505466423928738;
4,15;4,15;1;1;1;1;0;0;-18217,9047386805;-0,513125769793987;
4,2;4,2;1;1;1;1;0;0;-18220,1363365288;-0,521197877824306;
4,25;4,25;1;1;1;1;0;0;-18222,3679343771;-0,529036968946457;
4,3;4,3;1;1;1;1;0;0;-18225,0090161255;-0,536915436387062;
4,35;4,35;1;1;1;1;0;0;-18228,1328954853;-0,54521769285202;
