Temps total (s),Temps de cycle écoulé (s),Nombre total de cycles,Cycles écoulés,Etape,Nombre total de cycles(Forme d'onde Linear),Nombre total de cycles(Forme d'onde Rotary),Pos (ľm),Effort_5N (N)
0,0,1,1,1,0,0,"11347,55704","0,001891889"
"0,001","0,001",1,1,1,0,0,"11347,56419","0,001435126"
"0,002","0,002",1,1,1,0,0,"11347,5633","0,000826935"
"0,003","0,003",1,1,1,0,0,"11347,55704","0,000156583"
"0,004","0,004",1,1,1,0,0,"11347,54989","-0,00047069"
"0,005","0,005",1,1,1,0,0,"11347,55525","-0,0009637"
"0,006","0,006",1,1,1,0,0,"11347,56688","-0,001286897"
"0,007","0,007",1,1,1,0,0,"11347,57939","-0,001414958"
"0,008","0,008",1,1,1,0,0,"11347,58655","-0,001289127"
"0,009","0,009",1,1,1,0,0,"11347,58029","-0,000883848"
"0,01","0,01",1,1,1,0,0,"11347,57224","-0,000263639"
"0,011","0,011",1,1,1,0,0,"11347,56688","0,000418304"
"0,012","0,012",1,1,1,0,0,"11347,57045","0,00110684"
"0,013","0,013",1,1,1,0,0,"11347,57403","0,001715198"
"0,014","0,014",1,1,1,0,0,"11347,57224","0,002126405"
"0,015","0,015",1,1,1,0,0,"11347,56777","0,002289447"
"0,016","0,016",1,1,1,0,0,"11347,56419","0,002253973"
"0,017","0,017",1,1,1,0,0,"11347,56419","0,002042004"
"0,018","0,018",1,1,1,0,0,"11347,57135","0,001624818"
"0,019","0,019",1,1,1,0,0,"11347,57939","0,00109423"
"0,02","0,02",1,1,1,0,0,"11347,58655","0,000524228"
"0,021","0,021",1,1,1,0,0,"11347,58386","-6,78E-05"
"0,022","0,022",1,1,1,0,0,"11347,57939","-0,00060509"
"0,023","0,023",1,1,1,0,0,"11347,57939","-0,000988375"
"0,024","0,024",1,1,1,0,0,"11347,58386","-0,00111931"
"0,025","0,025",1,1,1,0,0,"11347,58744","-0,001002457"
"0,026","0,026",1,1,1,0,0,"11347,58833","-0,000683987"
"0,027","0,027",1,1,1,0,0,"11347,58833","-0,000228379"
"0,028","0,028",1,1,1,0,0,"11347,59012","0,000347081"
"0,029","0,029",1,1,1,0,0,"11347,5937","0,001082872"
"0,03","0,03",1,1,1,0,0,"11347,58833","0,00186698"
"0,031","0,031",1,1,1,0,0,"11347,58029","0,002544094"
"0,032","0,032",1,1,1,0,0,"11347,57671","0,003038505"
"0,033","0,033",1,1,1,0,0,"11347,57671","0,00324659"
"0,034","0,034",1,1,1,0,0,"11347,57671","0,00309228"
"0,035","0,035",1,1,1,0,0,"11347,57671","0,002546338"
"0,036","0,036",1,1,1,0,0,"11347,57671","0,001741592"
"0,037","0,037",1,1,1,0,0,"11347,57671","0,000839001"
"0,038","0,038",1,1,1,0,0,"11347,57671","-5,94E-05"
"0,039","0,039",1,1,1,0,0,"11347,57671","-0,000805953"
"0,04","0,04",1,1,1,0,0,"11347,57582","-0,001212955"
"0,041","0,041",1,1,1,0,0,"11347,56956","-0,001226226"
"0,042","0,042",1,1,1,0,0,"11347,55704","-0,000803256"
"0,043","0,043",1,1,1,0,0,"11347,54184","1,30E-05"
"0,044","0,044",1,1,1,0,0,"11347,53737","0,001054979"
"0,045","0,045",1,1,1,0,0,"11347,55794","0,002077674"
"0,046","0,046",1,1,1,0,0,"11347,59191","0,002931794"
"0,047","0,047",1,1,1,0,0,"11347,60711","0,003542071"
"0,048","0,048",1,1,1,0,0,"11347,58833","0,003848216"
"0,049","0,049",1,1,1,0,0,"11347,55078","0,003732"
"0,05","0,05",1,1,1,0,0,"11347,52664","0,003254181"
"0,051","0,051",1,1,1,0,0,"11347,54184","0,002558413"
"0,052","0,052",1,1,1,0,0,"11347,57761","0,001719478"
"0,053","0,053",1,1,1,0,0,"11347,60174","0,000806521"
"0,054","0,054",1,1,1,0,0,"11347,60622","2,31E-05"
"0,055","0,055",1,1,1,0,0,"11347,5928","-0,000490444"
"0,056","0,056",1,1,1,0,0,"11347,58118","-0,000688359"
"0,057","0,057",1,1,1,0,0,"11347,58118","-0,000566356"
"0,058","0,058",1,1,1,0,0,"11347,58118","-0,000156318"
"0,059","0,059",1,1,1,0,0,"11347,58118","0,000425745"
"0,06","0,06",1,1,1,0,0,"11347,57671","0,001067128"
"0,061","0,061",1,1,1,0,0,"11347,57313","0,001725834"
"0,062","0,062",1,1,1,0,0,"11347,56866","0,002266588"
