"R0",,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
0,2.5972,15.5735,-411.578,0,0,0,0,0.000755109,0.000761068,0.00388828
1,2.5972,15.5735,-411.578,0.00109145,0.000122548,-0.000891653,0.00179606,0.000190092,0.000195531,0.000984525
2,2.5972,15.5735,-411.578,0.00139302,0.00057849,-0.00108921,0.00215584,0.000187123,0.000192221,0.000969463
3,2.5972,15.5735,-411.578,0.00139542,0.000790132,-0.000828308,0.00199903,0.000187835,0.000192948,0.000973007
4,2.5972,15.5735,-411.578,0.00144998,0.000926434,-0.00183462,0.00269177,0.000186972,0.000192568,0.000968796
5,2.5972,15.5735,-411.578,0.0012231,0.00125098,-0.00126171,0.00237077,0.000189496,0.000194698,0.000981491
6,2.5972,15.5735,-411.578,0.00139792,0.00116682,-0.00180011,0.00285855,0.000185263,0.000190577,0.000959593
7,2.5972,15.5735,-411.578,0.00199,0.00115788,-0.00222964,0.0034106,0.000187629,0.000192785,0.000971843
8,2.5972,15.5735,-411.578,0.00279935,0.00127246,-0.00198306,0.00374321,0.00018668,0.000192013,0.000967327
9,2.5972,15.5735,-411.578,0.00366442,0.00154119,-0.0033868,0.00529276,0.000188196,0.000193494,0.00097481
10,2.5972,15.5735,-411.578,0.0045287,0.00135607,-0.0035331,0.00600068,0.000187227,0.000192427,0.000969967
11,2.5972,15.5735,-411.578,0.00481831,0.00161334,-0.00304669,0.00601525,0.000189407,0.0001947,0.000981141
12,2.5972,15.5735,-411.578,0.00448572,0.00180732,-0.00365225,0.00617346,0.000190503,0.000195501,0.000986645
13,2.5972,15.5735,-411.578,0.00411854,0.00208841,-0.00406655,0.00629395,0.000186627,0.00019157,0.000966633
14,2.5972,15.5735,-411.578,0.00407322,0.00197583,-0.00413152,0.00617523,0.00019057,0.000196165,0.000987179
15,2.5972,15.5735,-411.578,0.00415044,0.00182987,-0.00320452,0.0056302,0.000187585,0.000192413,0.000971492
16,2.5972,15.5735,-411.578,0.0047608,0.00199578,-0.00424815,0.00677624,0.000190743,0.000196051,0.000987962
17,2.5972,15.5735,-411.578,0.00546343,0.00185273,-0.00476252,0.00758614,0.000187847,0.000193076,0.000973014
18,2.5972,15.5735,-411.578,0.00637671,0.00162483,-0.00456526,0.00805574,0.000188936,0.000194517,0.000978666
19,2.5972,15.5735,-411.578,0.0071933,0.00148962,-0.004059,0.00846242,0.000191028,0.000196231,0.000989237
20,2.5972,15.5735,-411.578,0.00763701,0.00154211,-0.00505677,0.00941438,0.000190137,0.000195278,0.000984987
21,2.5972,15.5735,-411.578,0.00739042,0.00149828,-0.0045179,0.0088418,0.000190067,0.000195539,0.000984185
22,2.5972,15.5735,-411.578,0.00720933,0.00166669,-0.00545984,0.00925266,0.000193387,0.000198778,0.00100152
23,2.5972,15.5735,-411.578,0.00709868,0.00168031,-0.00413789,0.0084473,0.000189002,0.000194315,0.000979011
24,2.5972,15.5735,-411.578,0.00745739,0.00160196,-0.00462588,0.00897877,0.00018979,0.000194997,0.000983046
25,2.5972,15.5735,-411.578,0.00776287,0.00143386,-0.00497609,0.0093747,0.000186625,0.000191803,0.000966715
26,2.5972,15.5735,-411.578,0.0086949,0.00125474,-0.00529738,0.010353,0.000188593,0.000193955,0.000976915
27,2.5972,15.5735,-411.578,0.00967808,0.00122579,-0.00514783,0.0110545,0.000189185,0.000194517,0.000979714
28,2.5972,15.5735,-411.578,0.0105166,0.00137735,-0.00478903,0.0116639,0.000189483,0.000194477,0.000981278
29,2.5972,15.5735,-411.578,0.0111547,0.00128551,-0.00463663,0.0121977,0.000190232,0.000195633,0.000985389
30,2.5972,15.5735,-411.578,0.0110634,0.00122333,-0.00520489,0.0123152,0.00019003,0.000195233,0.000984168
31,2.5972,15.5735,-411.578,0.0109317,0.00127933,-0.00479833,0.0120608,0.000190169,0.000195439,0.000984853
32,2.5972,15.5735,-411.578,0.0107381,0.00134991,-0.00390271,0.0115646,0.000189114,0.000194314,0.000979438
33,2.5972,15.5735,-411.578,0.0107639,0.00149007,-0.00475093,0.0119213,0.000187398,0.000192517,0.000970756
34,2.5972,15.5735,-411.578,0.011281,0.00104218,-0.00428328,0.0121889,0.000190184,0.000195842,0.000985235
35,2.5972,15.5735,-411.578,0.0119797,0.00106767,-0.00462363,0.0129483,0.000192142,0.000197259,0.000995381
36,2.5972,15.5735,-411.578,0.0127075,0.000949387,-0.00389059,0.0134366,0.000190683,0.000195765,0.00098747
37,2.5972,15.5735,-411.578,0.0133118,0.00106106,-0.00442992,0.0141456,0.000194405,0.000199899,0.0010069
38,2.5972,15.5735,-411.578,0.0136069,0.000871748,-0.00327788,0.0141005,0.000189601,0.000194621,0.00098222
39,2.5972,15.5735,-411.578,0.013276,0.000812394,-0.00299096,0.0137021,0.000192934,0.000198225,0.000999423
40,2.5972,15.5735,-411.578,0.0129364,0.000875652,-0.00220672,0.0132754,0.000193487,0.000198985,0.00100207
41,2.5972,15.5735,-411.578,0.0124137,0.000954791,-0.0018671,0.012677,0.000191278,0.000196462,0.000990675
42,2.5972,15.5735,-411.578,0.0121043,0.000820294,-0.00226269,0.0124138,0.000191089,0.000196375,0.000989699
43,2.5972,15.5735,-411.578,0.0122794,0.000747238,-0.00115914,0.0124539,0.000189882,0.000195285,0.000983496
44,2.5972,15.5735,-411.578,0.0123668,0.000753893,-0.0014608,0.0125784,0.000191625,0.000197244,0.000992522
45,2.5972,15.5735,-411.578,0.0129834,0.000641101,-0.000192723,0.013047,0.000190901,0.000196692,0.00098894
46,2.5972,15.5735,-411.578,0.0132378,0.000364897,0.000832827,0.0133496,0.000191124,0.000196156,0.0009899
47,2.5972,15.5735,-411.578,0.0132564,0.000279874,0.00131991,0.013407,0.00019291,0.00019923,0.000999302
48,2.5972,15.5735,-411.578,0.0126943,0.000210395,0.000949322,0.0128266,0.000194115,0.000199489,0.00100545
49,2.5972,15.5735,-411.578,0.0117549,0.000169437,0.00195587,0.011969,0.000191055,0.00019629,0.000989712
50,2.5972,15.5735,-411.578,0.0108046,-0.00011158,0.00260668,0.01117,0.000187173,0.000192477,0.000969669
51,2.5972,15.5735,-411.578,0.0102492,-0.000328555,0.0029679,0.0107409,0.000192454,0.000198298,0.000996792
52,2.5972,15.5735,-411.578,0.00999365,-0.000655653,0.00412789,0.0108926,0.000189135,0.00019478,0.000979676
53,2.5972,15.5735,-411.578,0.0101166,-0.000833373,0.00341958,0.0107548,0.000192451,0.000198028,0.000996699
54,2.5972,15.5735,-411.578,0.0102696,-0.00100702,0.00339499,0.0109207,0.000189889,0.000195154,0.000983365
55,2.5972,15.5735,-411.578,0.0102311,-0.00098538,0.00372509,0.0109834,0.000191157,0.000196213,0.000989979
56,2.5972,15.5735,-411.578,0.0098029,-0.00123083,0.00441969,0.0108461,0.000189323,0.000194582,0.000980534
57,2.5972,15.5735,-411.578,0.00920148,-0.0013832,0.00420287,0.0102949,0.000191662,0.000196977,0.000992799
58,2.5972,15.5735,-411.578,0.00826972,-0.00150077,0.00473972,0.009797,0.000192331,0.000197761,0.000995926
59,2.5972,15.5735,-411.578,0.00738112,-0.0018398,0.00572733,0.00959731,0.000189504,0.000194868,0.00098156
60,2.5972,15.5735,-411.578,0.00666763,-0.00208733,0.00579171,0.00913158,0.00018821,0.000193342,0.000974588
61,2.5972,15.5735,-411.578,0.00652232,-0.00237286,0.00655912,0.00962387,0.000189424,0.000194635,0.000981248
62,2.5972,15.5735,-411.578,0.00645693,-0.00250377,0.00581556,0.00915103,0.000192677,0.00019767,0.000997854
63,2.5972,15.5735,-411.578,0.00674784,-0.00250252,0.00639189,0.00967687,0.000191167,0.00019627,0.000990051
64,2.5972,15.5735,-411.578,0.00660609,-0.00278406,0.0065888,0.00978877,0.00019174,0.000196941,0.000993041
65,2.5972,15.5735,-411.578,0.00628399,-0.00279472,0.00675309,0.00970519,0.000190861,0.000195995,0.000988621
66,2.5972,15.5735,-411.578,0.00573539,-0.00272014,0.00711684,0.00963028,0.000190932,0.000195948,0.000988748
67,2.5972,15.5735,-411.578,0.00474923,-0.00283329,0.00795252,0.00971753,0.000187778,0.000192646,0.000972493
68,2.5972,15.5735,-411.578,0.00377078,-0.00297631,0.00858454,0.00988673,0.000189633,0.000195009,0.000982298
69,2.5972,15.5735,-411.578,0.00326544,-0.00316614,0.00897033,0.0101144,0.000188844,0.000193703,0.000978012
70,2.5972,15.5735,-411.578,0.00314071,-0.00324822,0.00946021,0.010514,0.000191344,0.000196546,0.000990774
71,2.5972,15.5735,-411.578,0.003292,-0.00330413,0.0106309,0.0116272,0.00018404,0.000189272,0.000953369
72,2.5972,15.5735,-411.578,0.00349807,-0.00336053,0.0105983,0.0116666,0.000189687,0.000194486,0.000982479
73,2.5972,15.5735,-411.578,0.00369643,-0.00365694,0.0104169,0.0117021,0.000192028,0.000196897,0.00099454
74,2.5972,15.5735,-411.578,0.00332097,-0.00348317,0.0102217,0.0113267,0.000190051,0.000195226,0.00098444
75,2.5972,15.5735,-411.578,0.00275482,-0.00341709,0.00977684,0.0107533,0.00019308,0.000197963,0.00100026
76,2.5972,15.5735,-411.578,0.00186329,-0.00339313,0.0113271,0.0119802,0.000192673,0.000197599,0.000997883
77,2.5972,15.5735,-411.578,0.000936243,-0.00351313,0.0116362,0.0121962,0.000193112,0.000198092,0.00100031
78,2.5972,15.5735,-411.578,0.000416034,-0.0038546,0.0125436,0.0131465,0.000189824,0.000194728,0.000983081
79,2.5972,15.5735,-411.578,0.000279788,-0.00404268,0.0124162,0.013074,0.00018988,0.000195303,0.000983513
80,2.5972,15.5735,-411.578,0.000444189,-0.00400402,0.0125813,0.0132172,0.00018822,0.000193754,0.000974839
81,2.5972,15.5735,-411.578,0.000759794,-0.00434518,0.0126264,0.0133894,0.00018702,0.00019265,0.000968691
82,2.5972,15.5735,-411.578,0.000904931,-0.00441846,0.0131247,0.0138915,0.000190759,0.000195932,0.000987991
83,2.5972,15.5735,-411.578,0.000701231,-0.00428041,0.0131001,0.0138098,0.000188801,0.00019368,0.000977942
84,2.5972,15.5735,-411.578,0.000157834,-0.00422826,0.013762,0.0144055,0.000189759,0.000194938,0.000982877
85,2.5972,15.5735,-411.578,-0.000653566,-0.00434583,0.0142778,0.0149482,0.000189826,0.000195024,0.000983341
86,2.5972,15.5735,-411.578,-0.00168205,-0.00450788,0.0144536,0.0152426,0.000187381,0.000192654,0.000970398
87,2.5972,15.5735,-411.578,-0.00263152,-0.00478998,0.0136654,0.0147316,0.000186876,0.000192085,0.000967957
88,2.5972,15.5735,-411.578,-0.00284754,-0.00479321,0.0147309,0.0157573,0.000189149,0.00019444,0.000979669
89,2.5972,15.5735,-411.578,-0.00263482,-0.00517742,0.0147965,0.015912,0.000191957,0.000196654,0.000993954
90,2.5972,15.5735,-411.578,-0.00227631,-0.0053849,0.0157608,0.0168215,0.000190942,0.000196207,0.000988967
91,2.5972,15.5735,-411.578,-0.00232041,-0.00535297,0.0153118,0.0163956,0.000191224,0.000196186,0.000990191
92,2.5972,15.5735,-411.578,-0.00239995,-0.0056283,0.0156079,0.0167865,0.000187067,0.000192474,0.000968986
93,2.5972,15.5735,-411.578,-0.00296833,-0.00542274,0.0166823,0.0177963,0.000189962,0.000195298,0.000984041
94,2.5972,15.5735,-411.578,-0.0041138,-0.00556452,0.0159785,0.0174312,0.000192539,0.000197631,0.000997378
95,2.5972,15.5735,-411.578,-0.00489615,-0.00554659,0.015946,0.0175949,0.000190868,0.000196036,0.000988489
96,2.5972,15.5735,-411.578,-0.00565865,-0.00555877,0.0159515,0.0178357,0.000191112,0.000196522,0.00098997
97,2.5972,15.5735,-411.578,-0.00605249,-0.00576286,0.0164486,0.0184667,0.000190806,0.000195855,0.000988309
98,2.5972,15.5735,-411.578,-0.00581563,-0.00592142,0.0168404,0.0187884,0.00019026,0.000195282,0.000985164
99,2.5972,15.5735,-411.578,-0.00562933,-0.00612383,0.0171083,0.019033,0.000194306,0.000199135,0.00100616
100,2.5972,15.5735,-411.578,-0.00533994,-0.00598767,0.0171723,0.0189658,0.000191515,0.000196923,0.000992052
101,2.5972,15.5735,-411.578,-0.00545609,-0.00586842,0.0171394,0.0189444,0.000191773,0.000197032,0.000993162
102,2.5972,15.5735,-411.578,-0.00601684,-0.00543306,0.0161774,0.0181093,0.000194291,0.000199013,0.00100608
