"Average",,,,,,,,,,,"P0",,,,,,,,,,"P1",,,,,,,,,,"P2",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
0,66.0112,7.31025,-694.963,0,0,0,0,0.00173934,0.000136212,0.00713693,57.7388,10.3303,-695.125,0,0,0,0,0.00193521,0.000185954,0.00824384,57.9435,8.07444,-696.71,0,0,0,0,0.00142755,0.000119606,0.00613036,58.4098,5.4752,-698.512,0,0,0,0,0.00139225,9.74914e-05,0.00602053
1,66.0805,7.30999,-694.944,0.000182777,0.000195269,0.000229273,0.00208191,0.000373427,0.00025484,0.00156758,57.7388,10.3303,-695.125,-0.00100887,4.61392e-05,0.00529845,0.00539399,0.000448732,0.000261803,0.00194117,57.9435,8.07444,-696.71,0.00032236,0.000470654,-0.00125565,0.00139816,0.000350602,0.000219597,0.00151268,58.4098,5.4752,-698.512,0.000499924,0.000601269,-0.00255904,0.00267613,0.000286287,0.000186751,0.00122172
2,66.0805,7.30999,-694.944,0.000314096,0.000487044,0.000309971,0.00190234,0.000370339,0.000252343,0.00155397,57.7388,10.3303,-695.125,-0.000302952,0.000387563,0.00241995,0.00247248,0.000447863,0.000253011,0.00193571,57.9435,8.07444,-696.71,0.000671475,0.000858251,-0.00184294,0.00214932,0.000348348,0.000214433,0.00150227,58.4098,5.4752,-698.512,0.000668202,0.000845022,-0.00179274,0.00209482,0.000285319,0.000185851,0.00121752
3,66.0805,7.30999,-694.944,0.000652445,0.000499203,-0.000972349,0.00201805,0.000370178,0.000253284,0.00155411,57.7388,10.3303,-695.125,1.26052e-05,5.37932e-05,0.0017427,0.00174501,0.000450453,0.000262627,0.00194858,57.9435,8.07444,-696.71,0.000322862,0.000392559,-0.00129711,0.00139414,0.000349812,0.000220744,0.00150959,58.4098,5.4752,-698.512,0.000872848,0.00100958,-0.00393237,0.00415318,0.00028835,0.000190165,0.00123107
4,66.1568,7.31323,-694.92,0.00107046,0.000330318,-0.00164262,0.00249767,0.00037095,0.000253816,0.00155637,57.7388,10.3303,-695.125,0.00128662,0.00099092,-0.00476401,0.00503335,0.000440328,0.000255299,0.00190449,57.9435,8.07444,-696.71,0.0015817,0.000818792,-0.00641429,0.00665698,0.000339339,0.000215321,0.00146462,58.4098,5.4752,-698.512,0.00128607,0.000743676,-0.00377232,0.00405659,0.000281694,0.000184891,0.00120242
5,66.1568,7.31323,-694.92,0.00127887,6.32246e-05,-0.00146138,0.00248906,0.00037027,0.000252598,0.00155362,57.7388,10.3303,-695.125,0.00105432,0.000319598,-0.000333446,0.00117494,0.00044198,0.000259625,0.00191233,57.9435,8.07444,-696.71,0.00137462,0.00031472,-0.00268504,0.00303478,0.000340904,0.000216025,0.0014713,58.4098,5.4752,-698.512,0.00129367,0.0002492,-0.00320459,0.00346524,0.000284294,0.000185492,0.00121323
6,66.1568,7.31323,-694.92,0.0012987,-0.000415342,-0.000655245,0.00242477,0.000370786,0.000253364,0.00155577,57.7388,10.3303,-695.125,0.000983564,-5.38163e-05,0.00102927,0.00143685,0.000448733,0.000260735,0.00194095,57.9435,8.07444,-696.71,0.0013031,-6.98793e-05,-0.00171144,0.00216399,0.000346518,0.0002159,0.00149485,58.4098,5.4752,-698.512,0.00153531,3.93269e-05,-0.00320623,0.00355716,0.000286072,0.000184474,0.00122025
7,66.0805,7.30999,-694.944,0.001538,-0.000469806,-0.000255455,0.00260154,0.000370222,0.000252698,0.00155402,57.7388,10.3303,-695.125,0.000198078,-0.000238569,0.00442412,0.00443638,0.000447639,0.000262008,0.00193661,57.9435,8.07444,-696.71,0.000921156,-0.000297964,0.000497804,0.00126901,0.000347275,0.000218321,0.00149847,58.4098,5.4752,-698.512,0.00142912,-0.000248614,-0.0011507,0.00186014,0.000285995,0.000186877,0.00122055
8,66.0805,7.30999,-694.944,0.00162458,-0.000508675,0.000671203,0.0027742,0.00037035,0.000253502,0.00155516,57.7388,10.3303,-695.125,0.00129264,0.000135312,0.00169428,0.00213777,0.000450616,0.000259288,0.00194856,57.9435,8.07444,-696.71,0.00154258,-0.000163041,0.000565042,0.00168968,0.000348328,0.000217296,0.00150271,58.4098,5.4752,-698.512,0.0017795,-0.000243818,-0.000211172,0.00180978,0.000286375,0.00018714,0.00122218
9,66.0805,7.30999,-694.944,0.00156817,-0.000341669,0.00180369,0.00327791,0.000370256,0.000253051,0.00155412,57.7388,10.3303,-695.125,0.000837286,0.000195983,0.00212488,0.00229261,0.000447765,0.000259216,0.00193656,57.9435,8.07444,-696.71,0.0014835,-5.93156e-05,-0.00047936,0.00160286,0.000346497,0.000218019,0.00149515,58.4098,5.4752,-698.512,0.00173303,-0.000106404,0.000154911,0.00181512,0.000285826,0.000184899,0.00121935
