"P0",,,,,,,,,,,,,,"P1",,,,,,,,,,,,,"P2",,,,,,,,,,,,,"P3",,,,,,,,,,,,,"P4",,,,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","Von Mises Strain [1] - Lagrange","displacement"
0,3.97396,-1.17823,-506.765,0,0,0,3.46517e-17,3.89825e-17,-8.85375e-17,1.2545e-16,-5.18162e-17,1.59325e-16,0,2.16714,-3.11547,-497.141,0,0,0,4.68354e-17,2.66661e-17,-5.66288e-17,9.42825e-17,-2.07811e-17,1.07252e-16,0,2.44068,-10.3861,-501.658,0,0,0,-1.10856e-17,-5.14874e-18,1.43739e-18,-4.8114e-18,-1.1423e-17,9.96292e-18,0,2.68465,-17.0047,-503.874,0,0,0,-2.20669e-17,-9.26584e-18,-5.36374e-18,-7.31089e-18,-2.40219e-17,2.13355e-17,0,3.29601,-26.1456,-509.74,0,0,0,-1.24767e-17,-2.27651e-17,2.0249e-19,-1.24694e-17,-2.27724e-17,1.97517e-17,0
1,3.97396,-1.17823,-506.765,0.000501294,-0.000227504,-0.000364134,-1.09675e-05,-5.09723e-05,-2.98016e-05,5.23615e-06,-6.7176e-05,7.02797e-05,0.000722201,2.16714,-3.11547,-497.141,0.000409797,-4.83289e-05,-0.000794906,-5.58003e-06,-3.97314e-05,-1.14128e-05,-1.58065e-06,-4.37308e-05,4.30961e-05,0.000896982,2.44068,-10.3861,-501.658,0.000326133,-6.06665e-05,0.000278152,5.63268e-06,-4.36527e-05,-1.7782e-05,1.14561e-05,-4.9476e-05,5.61286e-05,0.000451904,2.68465,-17.0047,-503.874,0.000310532,-0.000136622,-0.000698642,1.76509e-06,4.03797e-05,1.81632e-06,4.0575e-05,1.56972e-06,3.9855e-05,0.000785342,3.29601,-26.1456,-509.74,-7.64561e-05,7.16635e-05,0.000548243,-7.28973e-06,-2.6336e-05,1.87845e-07,-7.09866e-06,-2.65271e-05,2.46172e-05,0.000562206
2,3.97396,-1.17823,-506.765,0.000677076,8.58533e-05,-0.000306127,-1.55866e-05,-6.91463e-05,-5.59024e-05,1.96818e-05,-0.000104415,0.000115613,0.000834771,2.16714,-3.11547,-497.141,0.000553924,2.69173e-05,4.77296e-05,-4.52819e-06,-2.13401e-05,-3.67072e-05,2.47375e-05,-5.06057e-05,6.6568e-05,0.000570228,2.44068,-10.3861,-501.658,0.000643367,-8.23888e-05,0.000217992,2.47078e-07,-3.39741e-05,-2.58687e-05,1.41887e-05,-4.79158e-05,5.63821e-05,0.000695799,2.68465,-17.0047,-503.874,0.000672776,-0.000158782,-0.000375175,3.41284e-07,9.62222e-06,-1.16578e-05,1.75429e-05,-7.57941e-06,2.23896e-05,0.000791207,3.29601,-26.1456,-509.74,0.000271677,2.21205e-05,0.00081228,5.56102e-06,-1.29983e-05,3.77669e-05,3.52887e-05,-4.27259e-05,6.77238e-05,0.000857313
3,3.97396,-1.17823,-506.765,0.000895578,-0.000200665,-0.000850703,3.55893e-06,-1.43914e-05,2.63325e-06,4.93985e-06,-1.57723e-05,1.94563e-05,0.00125637,2.16714,-3.11547,-497.141,0.00089555,-2.27343e-05,-0.000672327,5.64729e-06,-2.92357e-05,-1.96315e-06,5.85988e-06,-2.94483e-05,3.2828e-05,0.00112072,2.44068,-10.3861,-501.658,0.000860534,-0.000185162,0.000435302,1.5852e-05,-2.66568e-05,-2.29669e-05,2.59618e-05,-3.67665e-05,5.47326e-05,0.000994556,2.68465,-17.0047,-503.874,0.000770281,-0.000294049,-0.000701451,-1.31799e-05,-6.83746e-06,-2.00477e-05,1.04704e-05,-3.04878e-05,3.75133e-05,0.00109929,3.29601,-26.1456,-509.74,0.00043363,-0.00015679,0.00140505,-2.06013e-05,3.87735e-05,1.06556e-05,4.07848e-05,-2.26125e-05,5.61035e-05,0.00147917
4,3.97396,-1.17823,-506.765,0.00100231,-0.000214404,-0.0010305,3.07827e-05,-6.62894e-05,8.13353e-06,3.14911e-05,-6.69977e-05,8.72221e-05,0.00145506,2.16714,-3.11547,-497.141,0.00116735,-5.29445e-05,-0.000449789,2.29625e-05,-3.31884e-05,5.35562e-06,2.34697e-05,-3.36957e-05,4.99771e-05,0.001268,2.44068,-10.3861,-501.658,0.001107,-5.96916e-05,1.64723e-06,2.15462e-05,-8.86987e-05,-4.40421e-05,3.69855e-05,-0.000104138,0.000126755,0.0011401,2.68465,-17.0047,-503.874,0.000967247,-0.000161081,0.000132013,1.07115e-06,8.97467e-06,6.1636e-06,1.27423e-05,-2.69649e-06,1.49e-05,0.00102321,3.29601,-26.1456,-509.74,0.000537873,-0.000203656,-0.000280861,-8.11418e-06,1.8155e-05,3.13937e-05,3.9176e-05,-2.91351e-05,5.9454e-05,0.000643835
5,3.97396,-1.17823,-506.765,0.00130353,-0.00015075,-0.000951151,-3.11269e-05,-4.77637e-05,-2.97646e-05,-8.09781e-06,-7.07928e-05,6.71642e-05,0.00164319,2.16714,-3.11547,-497.141,0.00118555,5.23796e-05,-0.0011058,-3.43503e-06,-3.38881e-05,-1.72736e-06,-6.75547e-07,-3.66475e-05,3.64123e-05,0.00162359,2.44068,-10.3861,-501.658,0.00124508,-9.99754e-05,0.000226154,2.79698e-05,-6.41883e-05,-8.97314e-06,2.89227e-05,-6.51412e-05,8.35141e-05,0.00127407,2.68465,-17.0047,-503.874,0.00126449,-0.000206469,0.00016818,6.28387e-06,1.33143e-05,1.67335e-05,2.69062e-05,-7.30802e-06,3.16001e-05,0.00129297,3.29601,-26.1456,-509.74,0.00108296,-0.000181262,0.0011627,3.83987e-06,-4.5367e-06,4.75643e-05,4.74746e-05,-4.81715e-05,8.29155e-05,0.00160367
6,3.97396,-1.17823,-506.765,0.00150868,-0.000290752,-0.00127315,-4.69569e-06,-7.5477e-05,-1.48827e-05,-1.11711e-06,-7.90555e-05,7.85882e-05,0.00200731,2.16714,-3.11547,-497.141,0.00155112,1.21996e-05,-0.000843332,1.07054e-05,-4.90341e-05,-2.37355e-06,1.0944e-05,-4.92728e-05,5.55934e-05,0.00176639,2.44068,-10.3861,-501.658,0.00144221,-8.26797e-05,-7.84486e-05,1.2776e-05,-1.23527e-05,1.64518e-06,1.32712e-05,-1.28479e-05,2.28919e-05,0.00145039,2.68465,-17.0047,-503.874,0.00134594,-0.000364987,-0.000345091,-7.8677e-06,-2.28263e-05,3.09694e-05,1.66131e-05,-4.73071e-05,5.76621e-05,0.00144595,3.29601,-26.1456,-509.74,0.00110283,-0.000115262,0.000649706,-7.82718e-06,-8.50558e-05,4.75371e-05,1.49949e-05,-0.000107878,0.000116133,0.00129238
7,3.97396,-1.17823,-506.765,0.00143686,-0.00042642,-0.00170788,-1.14902e-05,-6.21349e-05,-1.22817e-05,-7.71232e-06,-6.59128e-05,6.27683e-05,0.0022859,2.16714,-3.11547,-497.141,0.00148275,-0.000160114,-0.000608052,3.82864e-06,-4.40778e-05,-2.35669e-05,1.36316e-05,-5.38808e-05,6.2028e-05,0.00161164,2.44068,-10.3861,-501.658,0.00153505,-0.0002217,-0.000187096,2.94459e-05,-1.90963e-05,-2.9132e-05,4.33493e-05,-3.29996e-05,6.65777e-05,0.00156346,2.68465,-17.0047,-503.874,0.00165254,-0.000414775,0.000102119,2.29192e-05,-4.22673e-06,2.46306e-05,3.75113e-05,-1.88188e-05,5.01582e-05,0.00172378,3.29601,-26.1456,-509.74,0.00113762,-4.09108e-05,0.000546646,-3.84556e-06,1.55361e-05,6.28704e-05,6.95703e-05,-5.78798e-05,0.000110661,0.00127546
8,3.97396,-1.17823,-506.765,0.00154486,-0.000472529,-0.000786856,-1.56361e-05,-0.000120416,-2.29897e-05,-1.05446e-05,-0.000125507,0.000120605,0.00183856,2.16714,-3.11547,-497.141,0.00160851,-0.000115305,-0.00130573,-3.29876e-06,-7.84746e-05,-2.66793e-05,5.2665e-06,-8.70399e-05,8.97959e-05,0.00207518,2.44068,-10.3861,-501.658,0.00162096,-0.000200207,0.00011853,2.53187e-05,-4.72984e-05,-2.09555e-05,3.11207e-05,-5.31004e-05,7.38421e-05,0.00164281,2.68465,-17.0047,-503.874,0.00160751,-0.000453089,0.000229876,4.90307e-06,-1.0349e-05,5.87722e-07,5.15521e-06,-1.06011e-05,1.5199e-05,0.00168682,3.29601,-26.1456,-509.74,0.00118469,-5.12971e-05,0.00101694,-1.99191e-05,-3.53239e-05,9.71912e-05,6.99353e-05,-0.000125178,0.000171252,0.00156863
9,3.97396,-1.17823,-506.765,0.00173107,-0.000486593,-0.00145605,-1.79545e-05,-0.000106093,-2.84707e-05,-8.76665e-06,-0.000115281,0.000111167,0.00232074,2.16714,-3.11547,-497.141,0.0018353,-0.000170144,-0.00109114,-5.38043e-06,-6.32303e-05,-2.23758e-05,2.78644e-06,-7.13972e-05,7.28362e-05,0.0021423,2.44068,-10.3861,-501.658,0.00165361,-0.000299661,-0.00056785,2.29851e-05,-3.74056e-06,-2.1291e-05,3.48701e-05,-1.56256e-05,4.48757e-05,0.00177882,2.68465,-17.0047,-503.874,0.00176106,-0.000413977,-0.00114999,-2.49983e-06,-2.40116e-05,2.25109e-05,1.19787e-05,-3.84901e-05,4.59685e-05,0.00214545,3.29601,-26.1456,-509.74,0.0013151,6.61807e-05,0.00142575,-2.26615e-05,-4.97085e-05,4.59194e-05,1.2113e-05,-8.4483e-05,9.13525e-05,0.00194253
