"Average",,,,,,,,"P0",,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement"
0,3.84839,2.93288,-505.844,0,0,0,0,4.033,3.03709,-505.638,0,0,0,0
1,3.84839,2.93288,-505.844,0.000340377,-0.000211787,-0.000683313,0.000818103,4.033,3.03709,-505.638,0.000344987,-0.000178733,-0.000663575,0.000773595
2,3.84839,2.93288,-505.844,0.000484635,-0.000217156,-0.00138958,0.00149749,4.033,3.03709,-505.638,0.000507491,-0.000224628,-0.00146139,0.0015666
3,3.84839,2.93288,-505.844,0.000724232,-0.000510124,-0.00106367,0.00141863,4.033,3.03709,-505.638,0.000699434,-0.000505333,-0.00134878,0.0016039
4,3.84839,2.93288,-505.844,0.000851454,-0.000872444,-0.000901893,0.00152345,4.033,3.03709,-505.638,0.000844628,-0.000854475,-0.000972427,0.0015471
5,3.84839,2.93288,-505.844,0.00102203,-0.00108655,-0.000959696,0.00180676,4.033,3.03709,-505.638,0.0010366,-0.00110019,-0.00130454,0.00200026
6,3.84839,2.93288,-505.844,0.00120731,-0.00132184,-0.00108049,0.0021076,4.033,3.03709,-505.638,0.00119814,-0.00135142,-0.00125639,0.00220209
7,3.84839,2.93288,-505.844,0.00118105,-0.00150347,-0.000760692,0.00208991,4.033,3.03709,-505.638,0.0011977,-0.00154572,-0.000996715,0.00219691
8,3.84839,2.93288,-505.844,0.00149896,-0.00164573,-0.00120818,0.00255787,4.033,3.03709,-505.638,0.0014707,-0.00165051,-0.00140403,0.00262437
9,3.84839,2.93288,-505.844,0.00140046,-0.00179868,-0.00108773,0.00253625,4.033,3.03709,-505.638,0.00141274,-0.00181419,-0.0012154,0.00260406
10,3.84839,2.93288,-505.844,0.00139511,-0.0018524,-0.000854774,0.00251547,4.033,3.03709,-505.638,0.00138991,-0.00187434,-0.00106001,0.00256962
11,3.84839,2.93288,-505.844,0.00121839,-0.00177776,-0.00127909,0.00253683,4.033,3.03709,-505.638,0.00121757,-0.00181118,-0.00134576,0.0025717
12,3.84839,2.93288,-505.844,0.00124253,-0.00183152,-0.00174621,0.00283914,4.033,3.03709,-505.638,0.00124441,-0.00185238,-0.00184814,0.0029023
13,3.84839,2.93288,-505.844,0.00107741,-0.0017248,-0.000705673,0.00215632,4.033,3.03709,-505.638,0.00110245,-0.00176194,-0.000768024,0.00221691
14,3.84839,2.93288,-505.844,0.000837579,-0.00179664,-0.00067397,0.00211036,4.033,3.03709,-505.638,0.000878512,-0.00180992,-0.000737168,0.0021477
15,3.84839,2.93288,-505.844,0.000834277,-0.00163232,-0.00108991,0.0021535,4.033,3.03709,-505.638,0.000824443,-0.00165727,-0.00113563,0.00217885
16,3.84839,2.93288,-505.844,0.000755246,-0.00159029,-0.000509424,0.00183911,4.033,3.03709,-505.638,0.000752779,-0.00161267,-0.000515851,0.00185425
17,3.84839,2.93288,-505.844,0.000631697,-0.00154166,0.000261285,0.0017003,4.033,3.03709,-505.638,0.000635943,-0.00153291,0.000179731,0.00167045
18,3.84839,2.93288,-505.844,0.000462652,-0.00116137,-0.000542336,0.00139625,4.033,3.03709,-505.638,0.000494439,-0.00119159,-0.000545206,0.00141576
19,3.84839,2.93288,-505.844,0.000310394,-0.00104645,-6.08886e-05,0.00110961,4.033,3.03709,-505.638,0.000316012,-0.00102168,-0.000270193,0.00110385
20,3.84839,2.93288,-505.844,0.000304082,-0.000735536,9.90748e-05,0.000823993,4.033,3.03709,-505.638,0.000328743,-0.000690555,4.44076e-05,0.000772748
21,3.84839,2.93288,-505.844,0.00022683,-0.000636202,-0.000177578,0.000841988,4.033,3.03709,-505.638,0.000240977,-0.000636705,-0.000297135,0.00077262
