X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,e1 [1] - Lagrange,e2 [1] - Lagrange,gamma [1] - Lagrange,Von Mises Strain [1] - Lagrange,displacement,Sigma_X [mm],Sigma_Y [mm],Sigma_Z [mm]
4.28888,1.24748,-506.687,0,0,0,-5.10293e-17,1.40894e-17,-5.94686e-17,5.11738e-17,-8.81137e-17,-1.07418,1.23765e-16,0,0.000814359,0.000697657,0.00429914,4.34855,-2.68834,-496.904,0,0,0,1.22663e-16,8.77635e-17,-5.07307e-17,1.58996e-16,5.14304e-17,-0.617495,1.40685e-16,0,0.00056423,0.000491404,0.00292161,4.40822,-6.62416,-498.928,0,0,0,2.66042e-17,1.13509e-17,-5.84997e-18,3.06106e-17,7.34449e-18,-0.165496,2.83147e-17,0,0.000290721,0.000256484,0.00150641,4.46789,-10.56,-501.618,0,0,0,-5.93975e-18,-1.44334e-20,1.44189e-18,3.71605e-19,-6.32579e-18,1.34025,6.60798e-18,0,0.000329047,0.00030798,0.00171585,4.52756,-14.4958,-501.564,0,0,0,-1.55157e-17,-4.08849e-18,-1.72212e-18,-3.82259e-18,-1.57816e-17,-1.42556,1.42667e-17,0,0.000699284,0.000664729,0.00364249,4.58723,-18.4316,-505.036,0,0,0,-2.20376e-17,-5.75273e-18,-5.40139e-18,-4.12076e-18,-2.36696e-17,-1.27781,2.19029e-17,0,0.000325806,0.000280787,0.00170662,4.6469,-22.3674,-507.285,0,0,0,-1.52128e-17,-1.30141e-17,-4.55644e-18,-9.39405e-18,-1.88328e-17,-0.898509,1.634e-17,0,0.000121525,0.000108587,0.000639435,4.70657,-26.3033,-509.784,0,0,0,-1.13939e-17,-2.19795e-17,-5.72975e-19,-1.13433e-17,-2.20301e-17,-0.0532903,1.90885e-17,0,0.000149983,0.000131965,0.000792655,4.76624,-30.2391,-512.278,0,0,0,-1.25759e-17,-2.01429e-17,-1.00203e-18,-1.24348e-17,-2.0284e-17,-0.131168,1.77325e-17,0,0.000129697,0.000121211,0.000688086,4.82591,-34.1749,-514.776,0,0,0,-2.0773e-17,-1.49984e-17,-7.23087e-19,-1.4603e-17,-2.11685e-17,-1.39718,1.88026e-17,0,0.000154945,0.000142376,0.000825792
4.2894,1.24724,-506.688,0.000521619,-0.000243434,-0.000600631,-4.39668e-05,-9.06288e-05,-8.89734e-05,2.47098e-05,-0.000159305,-0.655555,0.000173192,0.000870956,0.000102204,8.97748e-05,0.000552594,4.34887,-2.6884,-496.904,0.000318022,-5.61884e-05,-4.94307e-05,-8.24267e-06,-2.28086e-05,1.39165e-05,6.99182e-07,-3.17505e-05,0.527497,3.22083e-05,0.000361236,0.000102805,9.30936e-05,0.000546325,4.40843,-6.62422,-498.928,0.000207457,-5.53886e-05,-0.000155938,6.12711e-06,-3.65091e-05,-1.54075e-05,1.11756e-05,-4.15576e-05,-0.306645,4.81634e-05,0.000282572,0.00010379,9.19466e-05,0.000552882,4.4682,-10.5599,-501.618,0.000307004,7.90054e-05,0.00036996,1.06837e-05,-5.25894e-05,-3.10892e-05,2.34157e-05,-6.53214e-05,-0.387498,7.96606e-05,0.000487917,9.13334e-05,8.64764e-05,0.000488838,4.52791,-14.4957,-501.563,0.000347597,7.47261e-05,0.00154688,4.52311e-06,3.3694e-05,-4.22637e-06,3.52056e-05,3.01146e-06,-1.39577,3.38336e-05,0.00158755,0.000109316,0.000105023,0.000583921,4.58758,-18.4317,-505.037,0.000352762,-7.32499e-05,-0.00108681,-5.29497e-06,1.11766e-05,2.07455e-05,2.56516e-05,-1.977e-05,0.974061,3.96414e-05,0.00114624,9.92963e-05,8.6799e-05,0.000534704,4.64709,-22.3675,-507.285,0.000191158,-7.6118e-05,0.00020566,4.64315e-06,-0.000100476,2.31984e-05,9.55081e-06,-0.000105384,0.208111,0.000110506,0.000423081,0.000111246,0.000102294,0.00060184,4.70655,-26.3032,-509.783,-2.49861e-05,9.60763e-05,0.00147268,1.4823e-05,-1.68864e-06,8.78716e-07,1.49234e-05,-1.78909e-06,0.0315998,1.81675e-05,0.00147705,0.000134347,0.000122414,0.000731057,4.76628,-30.2392,-512.278,4.45694e-05,-0.00013727,-0.000252429,8.34813e-06,0.000110842,-5.66856e-05,0.000136257,-1.7067e-05,-1.1553,0.000145726,0.000440594,0.00013117,0.000127256,0.00071651,4.82639,-34.175,-514.777,0.00048214,-8.07105e-05,-0.000936365,1.30883e-05,-5.57025e-05,-0.000114183,9.90388e-05,-0.000141653,-0.637312,0.000210529,0.00106199,0.000153107,0.000144618,0.000840296
4.28943,1.24745,-506.688,0.00054481,-3.30849e-05,-0.00136158,-5.84456e-05,-0.000176321,-0.000122549,1.87309e-05,-0.000253498,-0.560508,0.000263419,0.00148751,0.000102101,8.96128e-05,0.000551681,4.3491,-2.68828,-496.904,0.000548233,6.24515e-05,-0.00012196,1.02159e-05,-1.54034e-05,-1.54867e-05,1.75871e-05,-2.27745e-05,-0.438214,3.51028e-05,0.000594804,0.000101779,9.2145e-05,0.000540698,4.40876,-6.62431,-498.928,0.000542969,-0.000148636,-0.0003417,4.89158e-06,-1.43611e-05,-1.47018e-05,1.29203e-05,-2.23898e-05,-0.490554,3.10052e-05,0.000659596,0.000101337,8.9783e-05,0.000539948,4.46852,-10.56,-501.618,0.000624662,-5.5859e-05,-4.99556e-06,3.75461e-06,-2.89069e-05,-2.44589e-05,1.6879e-05,-4.20313e-05,-0.491217,5.2556e-05,0.00062876,9.00854e-05,8.53178e-05,0.000482356,4.52826,-14.4959,-501.564,0.000702824,-8.8636e-05,0.000271843,-1.98172e-06,1.00558e-05,-1.37055e-05,1.91827e-05,-1.11087e-05,-1.0028,2.6547e-05,0.0007626,0.000109249,0.00010502,0.000583991,4.58786,-18.4317,-505.036,0.000633796,-4.24974e-05,-0.000446687,-1.04667e-05,-2.76214e-05,-1.79961e-06,-9.86697e-06,-2.82212e-05,-0.149981,2.48143e-05,0.000777689,9.99833e-05,8.74182e-05,0.000538543,4.6475,-22.3675,-507.285,0.000598431,-5.95178e-05,5.92966e-06,6.91059e-06,-7.8099e-05,2.20573e-05,1.24312e-05,-8.36196e-05,0.238586,9.05393e-05,0.000666053,0.000110407,0.00010154,0.00059754,4.70688,-26.3032,-509.783,0.000309058,5.56818e-05,0.000871801,1.23709e-05,-4.1008e-06,2.85213e-05,3.39527e-05,-2.56826e-05,0.646243,5.19582e-05,0.000927543,0.000133496,0.000121641,0.000726483,4.76654,-30.2393,-512.277,0.000297424,-0.000175336,0.000718036,1.50225e-06,0.000102677,-6.64432e-06,0.00010318,9.99389e-07,-1.24367,0.0001027,0.000815997,0.000131258,0.000127308,0.00071667,4.82686,-34.1751,-514.777,0.000945646,-0.000161376,-0.00129561,3.62763e-05,0.000244535,-2.67645e-05,0.000248846,3.1966e-05,-1.43671,0.000234885,0.00162417,0.000152112,0.000143707,0.000835044
4.2897,1.24717,-506.688,0.000823498,-0.000309034,-0.000926948,-1.98636e-05,-1.35091e-05,1.02547e-05,-4.31911e-06,-2.90536e-05,0.657322,3.13207e-05,0.00128464,0.000102387,8.98747e-05,0.000553288,4.34938,-2.68842,-496.905,0.000825814,-7.86905e-05,-0.000578974,1.51695e-05,-3.18729e-06,1.26811e-05,2.30338e-05,-1.10516e-05,0.4802,3.06796e-05,0.00102235,0.000102194,9.2502e-05,0.000542751,4.40906,-6.62433,-498.928,0.000841182,-0.00016908,-0.000386555,1.64778e-05,-6.50468e-05,-1.10874e-05,1.79867e-05,-6.65557e-05,-0.132812,7.71511e-05,0.000953205,0.000102149,9.05201e-05,0.000544504,4.46871,-10.5601,-501.618,0.000819828,-7.87559e-05,8.69205e-05,1.42995e-05,-1.83571e-05,-1.76707e-05,2.22434e-05,-2.63009e-05,-0.420254,4.22254e-05,0.000837933,8.99969e-05,8.51886e-05,0.000481493,4.52849,-14.496,-501.564,0.000926215,-0.000164805,0.000289835,-6.07426e-07,2.90958e-05,-7.02008e-06,3.09544e-05,-2.46604e-06,-1.04907,3.22763e-05,0.000985578,0.000108941,0.000104705,0.000582206,4.58799,-18.4318,-505.037,0.000759956,-0.000222486,-0.000980519,-1.99743e-05,-4.06025e-05,6.20539e-06,-1.75242e-05,-4.30526e-05,0.267515,3.76324e-05,0.00126082,9.96622e-05,8.71538e-05,0.00053694,4.64746,-22.3676,-507.285,0.00055718,-0.000151542,0.000554944,-1.15922e-05,-6.93696e-05,5.32095e-06,-1.10814e-05,-6.98804e-05,0.0921364,6.51745e-05,0.000833553,0.00011159,0.00010262,0.000603842,4.70696,-26.3034,-509.783,0.000391957,-0.000189408,0.0011281,2.39209e-07,4.02978e-05,1.20189e-06,4.05004e-05,3.66843e-08,-0.393177,4.09649e-05,0.00121303,0.000132593,0.000120804,0.000721285,4.76674,-30.2394,-512.278,0.000497345,-0.000341131,0.000186324,1.76848e-05,8.80906e-05,2.62211e-05,9.71199e-05,8.65557e-06,1.24999,9.30986e-05,0.000882441,0.000133234,0.000129269,0.000727878,4.82647,-34.1752,-514.777,0.00056181,-0.000325639,-0.00151065,5.01369e-05,-8.0139e-05,4.77044e-05,6.81907e-05,-9.81927e-05,0.318463,0.000145624,0.00167658,0.000153316,0.000144792,0.000841245
4.28978,1.2469,-506.688,0.000901199,-0.000583933,-0.000930663,6.36213e-05,-0.000121076,6.48792e-06,6.41018e-05,-0.000121557,0.0328638,0.000163446,0.00142396,0.00010125,8.89282e-05,0.000547401,4.34967,-2.68827,-496.904,0.00111762,7.22284e-05,-1.88934e-05,2.40344e-05,3.6662e-06,-3.71673e-06,2.51708e-05,2.52977e-06,-0.205334,2.45147e-05,0.00113809,0.000101694,9.20392e-05,0.000539976,4.40939,-6.62421,-498.929,0.00117238,-5.3186e-05,-0.000931802,2.85633e-05,-3.35756e-05,-1.87785e-05,3.38174e-05,-3.88297e-05,-0.273538,6.32397e-05,0.00149936,0.00010297,9.12401e-05,0.000548778,4.46895,-10.56,-501.618,0.00105586,2.5898e-05,3.96928e-05,1.39056e-05,-8.39705e-05,-2.82297e-05,2.15646e-05,-9.16295e-05,-0.260289,0.000104134,0.00107914,9.0161e-05,8.53849e-05,0.000482695,4.52862,-14.4959,-501.563,0.0010574,-0.00010579,0.000760302,-9.37273e-06,-2.67888e-06,-3.98627e-06,1.22678e-06,-1.32784e-05,-0.87317,1.39969e-05,0.00130826,0.000108165,0.000103984,0.000578233,4.58818,-18.4318,-505.037,0.000948734,-0.000137611,-0.000721436,-1.26646e-05,-1.84407e-05,1.64792e-05,1.27065e-06,-3.2376e-05,0.703566,3.30415e-05,0.00120104,9.94856e-05,8.69666e-05,0.000535741,4.64765,-22.3676,-507.284,0.000754153,-0.00018846,0.00090292,-1.03621e-06,-2.98734e-05,2.91456e-05,1.7162e-05,-4.80715e-05,0.556659,5.86025e-05,0.00120327,0.000111088,0.000102166,0.00060122,4.70711,-26.3035,-509.784,0.000536837,-0.00019272,0.000177991,1.18548e-05,1.91386e-05,3.02071e-05,4.61352e-05,-1.51418e-05,0.843523,5.54801e-05,0.000641665,0.000133423,0.00012157,0.000725995,4.76694,-30.2393,-512.277,0.000699644,-0.000227866,0.000596915,6.24734e-06,4.01495e-05,8.67601e-06,4.24783e-05,3.91856e-06,1.3324,4.08084e-05,0.00106063,0.000130081,0.000126176,0.000710318,4.82682,-34.1751,-514.776,0.000906074,-0.000161797,-0.000366059,2.4856e-06,1.05341e-05,-1.81305e-05,2.8605e-05,-1.55852e-05,-0.992977,3.91234e-05,0.00101325,0.000152917,0.000144413,0.000838989
4.2901,1.24677,-506.688,0.00122319,-0.000706196,-0.00054939,-0.000111043,-8.03966e-05,-8.52728e-05,-8.97702e-06,-0.000182463,-0.871416,0.000178176,0.00154275,0.00010267,9.01787e-05,0.00055508,4.34973,-2.68832,-496.904,0.001179,1.53406e-05,-0.000411643,1.31333e-05,-3.26988e-05,1.53393e-05,1.80704e-05,-3.76359e-05,0.281203,4.94252e-05,0.00126196,0.000102601,9.28784e-05,0.000544943,4.40948,-6.62417,-498.928,0.00125904,-5.16244e-06,-0.000113572,3.20749e-05,-3.87898e-05,3.08516e-05,4.37406e-05,-5.04555e-05,0.357304,8.17286e-05,0.00127252,0.00010216,9.05176e-05,0.000544387,4.4692,-10.56,-501.618,0.00130691,-1.20344e-05,0.000376379,3.21651e-05,-4.16038e-05,2.95765e-06,3.24634e-05,-4.19022e-05,0.0411203,6.46202e-05,0.00136442,8.89111e-05,8.41835e-05,0.000475894,4.5288,-14.4959,-501.563,0.00123759,-0.000118086,0.000794021,1.48107e-05,1.56338e-05,7.57733e-06,2.39059e-05,6.5386e-06,0.779894,2.14535e-05,0.00147574,0.000109119,0.000104909,0.000583394,4.58844,-18.4318,-505.036,0.00121157,-0.000198967,-0.000167435,-1.38279e-05,-5.31208e-06,2.34197e-05,1.42648e-05,-3.34048e-05,0.876015,4.24829e-05,0.00124443,9.97102e-05,8.71601e-05,0.000536925,4.64791,-22.3676,-507.284,0.00101343,-0.000176873,0.000785026,-1.44917e-05,-5.86645e-05,2.78936e-05,-9.14112e-07,-7.22421e-05,0.449057,7.18485e-05,0.00131019,0.000110467,0.00010158,0.000597659,4.7078,-26.3033,-509.783,0.00122633,-3.6522e-05,0.00104504,6.1751e-06,4.06573e-07,3.13889e-05,3.48789e-05,-2.82972e-05,0.739658,5.49249e-05,0.00161499,0.000134086,0.000122177,0.000729678,4.76706,-30.2393,-512.278,0.000818422,-0.000183095,0.000463443,1.89255e-05,4.91691e-05,2.5989e-05,6.42287e-05,3.86581e-06,1.05682,6.2495e-05,0.000961293,0.000132645,0.00012868,0.000724487,4.82712,-34.1751,-514.776,0.00120988,-0.000216244,0.000248388,4.11098e-05,-6.9559e-06,5.28825e-05,7.58368e-05,-4.16828e-05,0.568803,0.000103538,0.00137187,0.000153972,0.000145413,0.000844845
4.2902,1.24653,-506.688,0.00131637,-0.000954638,-0.00105632,-5.91084e-05,-0.000122079,-4.61053e-05,-3.35559e-05,-0.000147632,-0.474674,0.000134242,0.00195207,0.000103552,9.09757e-05,0.00055995,4.34998,-2.68838,-496.905,0.0014248,-3.82362e-05,-0.000622598,2.48491e-05,-4.6044e-05,1.63578e-05,2.85743e-05,-4.97692e-05,0.215162,6.87346e-05,0.00157027,0.000102711,9.29934e-05,0.000545696,4.40962,-6.62423,-498.928,0.00139926,-7.1318e-05,-0.000511899,2.65366e-05,-4.41186e-05,1.14765e-05,2.83965e-05,-4.59785e-05,0.15538,6.50372e-05,0.001501,0.00010264,9.09385e-05,0.000546876,4.46927,-10.5601,-501.618,0.0013779,-7.39682e-05,-3.53961e-05,1.70357e-05,-2.32367e-05,1.28175e-05,2.08641e-05,-2.7065e-05,0.28631,4.16377e-05,0.00138102,8.97793e-05,8.50154e-05,0.000480605,4.52892,-14.4962,-501.564,0.00135933,-0.000387609,6.46387e-05,-1.42218e-06,3.77013e-06,2.60768e-05,2.7393e-05,-2.50451e-05,0.834118,4.54615e-05,0.00142335,0.00010953,0.00010523,0.000585081,4.58859,-18.4319,-505.037,0.00135911,-0.0003127,-0.000695557,-2.43758e-05,-5.33976e-05,3.93479e-05,3.08555e-06,-8.0859e-05,0.609497,8.24775e-05,0.00155889,9.88131e-05,8.63446e-05,0.000531862,4.64808,-22.3676,-507.284,0.00118004,-0.000121133,0.00116549,-1.851e-05,-8.77776e-05,3.66786e-05,-2.42647e-06,-0.000103861,0.401687,0.000102743,0.00167095,0.000109508,0.0001007,0.00059249,4.70767,-26.3034,-509.783,0.00109715,-9.49576e-05,0.00115848,-1.25243e-06,-6.3838e-05,1.43108e-05,2.99898e-06,-6.80894e-05,0.18944,6.96519e-05,0.00160307,0.000132954,0.000121136,0.00072329,4.76727,-30.2389,-512.275,0.00103297,0.000174715,0.00288029,1.39435e-05,2.47455e-05,-3.42333e-05,5.40991e-05,-1.54101e-05,-0.857881,6.34192e-05,0.00306537,0.000130209,0.00012634,0.000711392,4.82731,-34.1748,-514.775,0.00139953,0.00010217,0.000810687,5.14292e-05,8.91968e-05,-5.81826e-05,0.000131637,8.98865e-06,-0.940884,0.000127539,0.00162228,0.000153558,0.000145068,0.000842933
4.29011,1.24648,-506.688,0.00122759,-0.00100405,-0.00132284,-6.2823e-05,-4.94136e-05,-5.47645e-06,-3.82819e-05,-7.39547e-05,0.241567,6.42199e-05,0.0020771,0.000102981,9.04e-05,0.000556511,4.3499,-2.68856,-496.905,0.00135224,-0.000223948,-0.000684701,3.85285e-05,-7.30112e-06,1.62855e-05,4.46234e-05,-1.3396e-05,0.29366,5.27826e-05,0.00153846,0.000101989,9.22989e-05,0.000541493,4.4096,-6.62431,-498.93,0.00137736,-0.000148753,-0.00172786,3.27638e-05,-4.49442e-05,-2.91024e-05,4.26606e-05,-5.4841e-05,-0.319509,8.47301e-05,0.0022177,0.000101902,9.02993e-05,0.000543165,4.46948,-10.5602,-501.618,0.00158639,-0.000195457,-0.000150346,3.61374e-05,-5.29973e-05,-1.99054e-05,4.0601e-05,-5.74609e-05,-0.211505,8.54056e-05,0.00160674,8.99887e-05,8.5234e-05,0.000481911,4.52917,-14.496,-501.564,0.00161371,-0.000228587,0.000377426,1.91263e-05,6.44213e-07,1.41773e-05,2.74513e-05,-7.68082e-06,0.489127,3.21337e-05,0.00167311,0.00010948,0.000105263,0.000585368,4.58886,-18.4319,-505.036,0.00162978,-0.000284676,-0.000415697,-3.09029e-06,-3.58031e-05,4.60565e-05,2.94522e-05,-6.83456e-05,0.615639,8.69543e-05,0.00170609,9.89968e-05,8.65594e-05,0.000533256,4.64814,-22.3677,-507.284,0.00124289,-0.000279017,0.000609609,-4.34293e-06,-6.21229e-05,6.50074e-05,3.79379e-05,-0.000104404,0.575811,0.000127683,0.00144458,0.000110673,0.000101808,0.000599307,4.70768,-26.3033,-509.783,0.00110629,-8.57429e-05,0.00120003,5.84649e-06,2.77649e-05,5.63763e-05,7.43264e-05,-4.0715e-05,0.881847,0.000101177,0.00163952,0.000133796,0.000121919,0.000728213,4.7674,-30.2393,-512.278,0.00116062,-0.000213026,0.000270429,1.83315e-05,0.000119194,2.80567e-05,0.000126552,1.09739e-05,1.31695,0.000121457,0.00128342,0.000130607,0.00012673,0.000713601,4.8274,-34.1752,-514.778,0.00148559,-0.000287479,-0.00179568,1.28461e-05,7.09521e-05,-8.90245e-06,7.61152e-05,7.68295e-06,-0.075006,7.31017e-05,0.00235975,0.000153591,0.000145145,0.000843501
4.29047,1.24631,-506.688,0.00158965,-0.00116581,-0.000761855,-4.96378e-05,-0.000226052,-3.13147e-05,-4.31457e-05,-0.000232544,-0.16755,0.000214285,0.00214765,0.000102283,8.98195e-05,0.000552892,4.35009,-2.68858,-496.905,0.00153736,-0.000240294,-0.00111418,5.46707e-06,-4.59133e-05,9.47187e-07,6.05336e-06,-4.64995e-05,0.0268031,4.98489e-05,0.00192175,0.000101652,9.20196e-05,0.000539925,4.40977,-6.62452,-498.929,0.00154759,-0.000360206,-0.000967209,2.20812e-05,-7.62586e-05,-2.01654e-05,2.61192e-05,-8.02967e-05,-0.19505,9.60588e-05,0.00186088,0.000103018,9.12662e-05,0.000548808,4.46948,-10.5601,-501.618,0.00158729,-0.000112847,0.000110895,2.78093e-05,-5.91672e-05,-5.1103e-06,2.8257e-05,-5.9615e-05,-0.0581963,7.77443e-05,0.00160381,8.97729e-05,8.49695e-05,0.000480242,4.5292,-14.4962,-501.563,0.00164078,-0.000436094,0.000659722,1.29136e-05,1.06154e-05,1.51873e-05,2.74961e-05,-3.96706e-06,0.737327,2.97394e-05,0.00182274,0.000108664,0.000104415,0.00058057,4.5887,-18.4321,-505.036,0.0014731,-0.000485916,-0.000530051,-1.60876e-05,-4.94926e-05,1.83637e-05,-7.7034e-06,-5.78768e-05,0.421001,5.45178e-05,0.00164458,9.98239e-05,8.72489e-05,0.000537464,4.64852,-22.3676,-507.284,0.00161816,-0.000189005,0.000904959,-2.50727e-05,-0.000125759,3.95423e-05,-1.09788e-05,-0.000139853,0.329696,0.00013483,0.0019026,0.000110289,0.000101428,0.000596863,4.70761,-26.3032,-509.783,0.00104107,0.000104167,0.0015373,-1.13886e-05,-2.38613e-05,5.94831e-05,4.23438e-05,-7.75937e-05,0.729894,0.000105448,0.00186439,0.000133715,0.000121841,0.000727708,4.7674,-30.2388,-512.277,0.00115806,0.00023711,0.000779987,1.21643e-05,5.51351e-05,1.01955e-05,5.91816e-05,8.11774e-06,1.34887,5.56711e-05,0.00144544,0.000131369,0.000127403,0.00071714,4.82747,-34.175,-514.776,0.00156082,-0.000148043,0.000202465,5.65129e-05,8.10069e-05,-6.94639e-06,8.6328e-05,5.11917e-05,-0.0267419,7.56333e-05,0.00162104,0.000154604,0.000146046,0.000848576
4.29039,1.24618,-506.689,0.00150843,-0.001298,-0.00152176,-3.96048e-05,-0.000186159,-3.96292e-05,-2.75963e-05,-0.000198167,-0.246555,0.000185932,0.0025162,0.000102618,9.01322e-05,0.000554787,4.35024,-2.68866,-496.905,0.00169191,-0.000317957,-0.00111295,1.29528e-05,-5.14791e-05,1.45486e-05,1.63604e-05,-5.48867e-05,0.21058,6.48062e-05,0.00205681,0.000102419,9.27077e-05,0.000543962,4.40991,-6.62452,-498.929,0.00168839,-0.000357819,-0.00101151,3.40427e-05,-2.01416e-05,2.34216e-07,3.45463e-05,-2.06452e-05,0.00580503,4.83857e-05,0.00200391,0.000102663,9.09684e-05,0.000547175,4.46963,-10.5602,-501.619,0.00174149,-0.000250435,-0.000942726,3.49123e-05,-4.90499e-06,-4.374e-06,3.61188e-05,-6.11152e-06,-0.10928,3.95612e-05,0.00199662,8.99739e-05,8.51797e-05,0.000481492,4.5292,-14.4962,-501.565,0.001637,-0.000383406,-0.000909091,6.65303e-06,-3.8683e-06,1.42676e-05,1.66714e-05,-1.38867e-05,0.600183,2.68226e-05,0.00191554,0.000109995,0.000105707,0.000587777,4.58887,-18.4319,-505.037,0.00164161,-0.000330561,-0.00143666,-1.49954e-05,-8.03324e-05,4.84574e-05,1.08128e-05,-0.000106141,0.489604,0.000111948,0.00220994,9.94972e-05,8.69665e-05,0.000535717,4.64828,-22.3676,-507.285,0.00138297,-0.00020524,0.000234367,-1.85558e-05,-0.000156487,4.60872e-05,-4.55024e-06,-0.000170492,0.294259,0.000168268,0.0014316,0.000110529,0.000101635,0.000597946,4.70784,-26.3031,-509.783,0.00126804,0.000130904,0.0016855,-2.2363e-05,-3.21591e-05,1.59951e-05,-9.9459e-06,-4.45762e-05,0.645976,4.16661e-05,0.002114,0.000133908,0.000122013,0.000728625,4.76754,-30.2391,-512.277,0.00129689,-4.51685e-05,0.000626103,-1.36735e-05,0.00012497,1.09761e-05,0.000125838,-1.45419e-05,1.49251,0.000133713,0.00149279,0.000131676,0.000127709,0.000718887,4.82728,-34.1752,-514.778,0.00136591,-0.000288896,-0.0016969,-5.5081e-06,1.92579e-05,1.73241e-05,3.50326e-05,-2.12828e-05,-0.479018,5.10253e-05,0.00220061,0.00015523,0.00014663,0.00085199
